line_number_1_based,field,value
14,Notes,CFS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
15,!ProcessSteps,"""Raw RFU, Hyb Normalization, plateScale, Median Normalization (SampleType), Filtered""																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		"
16,!ProteinEffectiveDate,10/31/16																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
17,RunNotes,Catch 2 temperature controlled washes performed manually due to failure of recirculating water bath.																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
18,StudyMatrix,																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
19,StudyOrganism,																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
20,!Title,CHI-19-021																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
21,AssaySite,CHI																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22,CalibratorId,160385																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23,AssayPlatform,HTS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
24,KitLot,Set 001:190347																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
25,TemplateName,HybNormPlateScaleMedNormCalibrateAutoSQS_1.3k_AutoAdat (1).properties																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
26,TemplateDescription,Updated to support QC_CHI as a sampleType																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
27,AssayKitPartNumber,900-00014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
28,AssayKitDescription,SOMAscan HTS Assay 1.3K - Serum																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
29,ReportConfig,"""{""""analysisSteps"""":[{""""stepType"""":""""hybNorm"""",""""referenceSource"""":""""intraplate""""},{""""stepType"""":""""plateScale"""",""""referenceSource"""":""""Serum_Tec_Cal_160385B_8q_1.5k_mm4.3_p3.2""""},{""""stepType"""":""""medNorm"""",""""referenceSource"""":""""intraplate"""",""""referenceFields"""":[""""SampleType""""]},{""""stepType"""":""""calibrate"""",""""referenceSource"""":""""Serum_Tec_Cal_160385B_8q_1.5k_mm4.3_p3.2"""",""""passFailCriteria"""":""""scaleFactor"""",""""tailThreshold"""":10.0}],""""qcMetrics"""":{""""passFailCriteria"""":""""scaleFactor""""},""""qualityReports"""":[""""SQS Report""""],""""filter"""":{""""somascanMenuVersion"""":""""1.3k_v02"""",""""proteinEffectiveDate"""":""""2016-10-31"""",""""includeSomamerTypes"""":[""""Hybridization Control Elution""""],""""filteredMetadata"""":[""""hybNorm_ReferenceRFU""""],""""includeSampleTypes"""":[""""Buffer"""",""""Calibrator"""",""""QC"""",""""QC_CHI""""]}}""																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		"
30,HybNormReference,intraplate																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
31,PlateScale_Scalar_Set_001,0.639																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
32,PlateScale_ReferenceSource,Serum_Tec_Cal_160385B_8q_1.5k_mm4.3_p3.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
33,PlateScale_PassFlag_Set_001,PASS																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
34,MedNormReference,intraplate																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
35,!SomascanMenuVersion,1.3k_v02																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
36,!FilteringOptions,"""somascanMenuVersion + 1.3k_v02, filteredMetadata + [hybNorm_ReferenceRFU], includeSampleTypes + [Buffer, Calibrator, QC, QC_CHI], includeSomamerTypes + [Hybridization Control Elution]""																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		"
