measurement_column,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
SeqId,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
4718-5_2,4718-5_2,SL007869,Peptidyl-prolyl cis-trans isomerase B,PPIB,P23284,5479,PPIB,Human,RFU,Protein,20,224.85
4719-58_2,4719-58_2,SL003524,Protein disulfide-isomerase A3,Protein disulfide isomerase A3,P30101,2923,PDIA3,Human,RFU,Protein,20,618.55
4721-54_2,4721-54_2,SL006119,Trefoil factor 3,TFF3,Q07654,7033,TFF3,Human,RFU,Protein,20,22678.4
4763-31_3,4763-31_3,SL004742,Afamin,Afamin,P43652,173,AFM,Human,RFU,Protein,20,171373.3
4769-10_3,4769-10_3,SL008590,Olfactomedin-4,Olfactomedin-4,Q6UX06,10562,OLFM4,Human,RFU,Protein,20,51.75
4771-10_3,4771-10_3,SL012754,Acid sphingomyelinase-like phosphodiesterase 3a,ASM3A,Q92484,10924,SMPDL3A,Human,RFU,Protein,20,1930.1499999999999
4774-62_3,4774-62_3,SL016129,Protein FAM107B,FAM107B,Q9H098,83641,FAM107B,Human,RFU,Protein,20,40.75
4775-34_3,4775-34_3,SL005572,Gelsolin,Gelsolin,P06396,2934,GSN,Human,RFU,Protein,20,29022.4
4785-30_3,4785-30_3,SL000347,Corticosteroid-binding globulin,CBG,P08185,866,SERPINA6,Human,RFU,Protein,20,20.5
4786-58_3,4786-58_3,SL007871,UMP-CMP kinase,Cytidylate kinase,P30085,51727,CMPK1,Human,RFU,Protein,20,79.8
4792-51_2,4792-51_2,SL016148,"gp41 C34 peptide, HIV",C34 gp41 HIV Fragment,Q70626,,Human-virus,isolate LW123,RFU,Non-Human,20,795.05
4801-13_3,4801-13_3,SL007153,Lactoperoxidase,PERL,P22079,4025,LPO,Human,RFU,Protein,20,142.0
4807-13_3,4807-13_3,SL008072,Collagen alpha-1(VIII) chain,CO8A1,P27658,1295,COL8A1,Human,RFU,Protein,20,45.7
4811-33_3,4811-33_3,SL004739,Inter-alpha-trypsin inhibitor heavy chain H4,ITI heavy chain H4,Q14624,3700,ITIH4,Human,RFU,Protein,20,16784.050000000003
4815-25_3,4815-25_3,SL016128,Thioredoxin domain-containing protein 12,TXD12,O95881,51060,TXNDC12,Human,RFU,Protein,20,313.95
4829-43_6,4829-43_6,SL001737,14-3-3 protein sigma,STRATIFIN,P31947,2810,SFN,Human,RFU,Protein,20,132.1
4831-4_2,4831-4_2,SL002823,L-Selectin,sL-Selectin,P14151,6402,SELL,Human,RFU,Protein,20,67076.0
4832-75_2,4832-75_2,SL004156,Tumor necrosis factor receptor superfamily member 10A,TRAIL R1,O00220,8797,TNFRSF10A,Human,RFU,Protein,20,38.8
4834-61_2,4834-61_2,SL002654,Ephrin type-A receptor 2,Epithelial cell kinase,P29317,1969,EPHA2,Human,RFU,Protein,20,465.9
4840-73_1,4840-73_1,SL001729,Granulocyte colony-stimulating factor,G-CSF,P09919,1440,CSF3,Human,RFU,Protein,20,60.95
4842-62_2,4842-62_2,SL000070,Glypican-3,Glypican 3,P51654,2719,GPC3,Human,RFU,Protein,20,173.55
4851-25_1,4851-25_1,SL000125,Interleukin-1 alpha,IL-1a,P01583,3552,IL1A,Human,RFU,Protein,20,317.85
4859-6_1,4859-6_1,SL004080,Bone morphogenetic protein receptor type-1A,BMPR1A,P36894,657,BMPR1A,Human,RFU,Protein,20,33114.850000000006
4862-63_1,4862-63_1,SL004133,Bone morphogenetic protein receptor type-2,BMP RII,Q13873,659,BMPR2,Human,RFU,Protein,20,325.0
4866-59_2,4866-59_2,SL004160,BDNF/NT-3 growth factors receptor,TrkB,Q16620,4915,NTRK2,Human,RFU,Protein,20,13077.9
4867-15_2,4867-15_2,SL003310,"Vascular endothelial growth factor A, isoform 121",VEGF121,P15692,7422,VEGFA,Human,RFU,Protein,20,27.799999999999997
4874-3_1,4874-3_1,SL000003,Angiogenin,Angiogenin,P03950,283,ANG,Human,RFU,Protein,20,43240.350000000006
4876-32_1,4876-32_1,SL000357,Coagulation factor IX,Coagulation Factor IX,P00740,2158,F9,Human,RFU,Protein,20,56442.350000000006
4878-3_1,4878-3_1,SL000360,Coagulation Factor X,Coagulation Factor X,P00742,2159,F10,Human,RFU,Protein,20,38211.6
4880-21_1,4880-21_1,SL007756,Growth/differentiation factor 2,GDF2,Q9UK05,2658,GDF2,Human,RFU,Protein,20,53.5
4883-56_2,4883-56_2,SL000021,Insulin,Insulin,P01308,3630,INS,Human,RFU,Protein,20,18.85
4886-3_1,4886-3_1,SL000516,C-C motif chemokine 7,MCP-3,P80098,6354,CCL7,Human,RFU,Protein,20,46.400000000000006
4889-82_1,4889-82_1,SL009951,Protein Wnt-7a,WNT7A,O00755,7476,WNT7A,Human,RFU,Protein,20,29.4
4890-10_1,4890-10_1,SL003461,Corticotropin,ACTH,P01189,5443,POMC,Human,RFU,Protein,20,75.15
4891-50_1,4891-50_1,SL000433,Glucagon,Glucagon,P01275,2641,GCG,Human,RFU,Protein,20,56.55
4900-8_1,4900-8_1,SL000313,C3a anaphylatoxin,C3a,P01024,718,C3,Human,RFU,Protein,20,4388.6
