member_name,size_bytes,compressed_size_bytes,crc32,type
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_108/DTI_MD.nii.gz,792248,789709,adc5b0d6,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_108/DTI_RD.nii.gz,802345,800166,75ac8123,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_116/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_116/DTI_AD.nii.gz,738746,735773,e6ed6c71,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_116/DTI_FA.nii.gz,769938,767272,9ba446f8,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_116/DTI_MD.nii.gz,754083,750966,aacf8594,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_116/DTI_RD.nii.gz,763812,760978,9b36ec68,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_120/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_120/DTI_AD.nii.gz,712678,709807,31a7c81d,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_120/DTI_FA.nii.gz,739156,736349,04da2736,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_120/DTI_MD.nii.gz,728727,725706,a289e285,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_120/DTI_RD.nii.gz,736828,734034,c0f3417c,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_125/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_125/DTI_AD.nii.gz,622066,618703,ec3d8566,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_125/DTI_FA.nii.gz,646066,642855,725e5330,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_125/DTI_MD.nii.gz,634601,631072,89696c77,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_125/DTI_RD.nii.gz,643169,639963,9d0f8bcd,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_128/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_128/DTI_AD.nii.gz,704290,700922,ad88db38,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_128/DTI_FA.nii.gz,731722,728459,f9c7daa3,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_128/DTI_MD.nii.gz,720487,717028,832ac914,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_128/DTI_RD.nii.gz,727594,724363,1df778cf,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_134/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_134/DTI_AD.nii.gz,816966,814415,e1f87faa,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_134/DTI_FA.nii.gz,850377,847950,e6896863,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_134/DTI_MD.nii.gz,834730,832158,29c177ff,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_134/DTI_RD.nii.gz,845962,843623,5f2d90d7,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_135/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_135/DTI_AD.nii.gz,812657,810267,b7b3bf8a,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_135/DTI_FA.nii.gz,845352,843173,896b04f9,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_135/DTI_MD.nii.gz,827991,825568,a60bd10a,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_135/DTI_RD.nii.gz,839499,837374,4d3ca0cd,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_138/,0,0,00000000,directory
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_138/DTI_AD.nii.gz,733066,729912,58429ee8,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_138/DTI_FA.nii.gz,763076,760084,b7ffd5ae,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_138/DTI_MD.nii.gz,748478,745154,2dfcae68,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_138/DTI_RD.nii.gz,758019,754927,0f02e257,file
DTI_Data_sharing/DTI_Data_sharing_MECFS-GO/CFS_143/,0,0,00000000,directory
